Symbol	GSM8422086	GSM8422087	GSM8422088	GSM8422089	GSM8422091	GSM8422092	GSM8422093	GSM8422094	GSM8422095	GSM8422096	GSM8422097
DDX11L1	0	2	2	0	2	2	1	1	0	1	1
WASH7P	364	366	351	349	365	385	441	365	373	358	341
MIR6859-1	30	24	26	30	26	44	33	24	31	25	20
MIR1302-2HG	0	1	1	0	0	0	0	0	1	0	0
MIR1302-2	0	0	0	0	0	0	0	1	1	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0
LOC100996442	47	34	33	35	47	52	57	43	52	43	46
LOC729737	184	161	171	121	137	247	271	207	141	181	152
DDX11L17	0	1	5	0	1	1	2	0	0	0	0
WASH9P	579	517	525	448	530	585	591	523	522	492	543
MIR6859-2	8	9	8	9	8	13	17	14	16	7	12
LOC107985721	0	1	2	2	0	1	0	0	1	0	0
LOC112268260	10	8	10	11	9	14	20	11	5	8	8
OR4F29	0	0	0	0	0	1	0	0	1	0	0
LOC100132287	204	217	163	164	139	233	218	203	161	184	168
LOC105378947	0	0	0	0	0	0	0	0	0	0	0
LOC101928626	0	0	0	0	0	1	0	0	0	0	0
MIR12136	323	244	257	190	251	272	328	340	250	228	232
OR4F16	5	2	2	3	5	6	4	7	5	6	5
LOC100133331	275	230	200	169	225	273	274	246	193	218	211
LOC107984841	101	85	86	75	69	108	107	133	66	79	72
LOC107984847	109	92	96	76	77	110	123	85	64	68	99
LOC107984849	28	34	27	26	21	23	33	27	18	23	27
LOC100288069	108	81	87	96	85	136	125	100	91	115	106
LINC01409	20	24	11	31	29	24	31	38	33	37	21
FAM87B	4	7	7	8	7	6	8	9	5	8	1
LINC00115	54	55	61	67	51	45	64	32	43	73	41
LINC01128	275	209	202	214	233	180	232	229	214	218	246
LOC107984850	0	0	1	0	0	0	0	0	0	0	0
FAM41C	1	1	2	1	1	1	1	4	1	1	2
LOC284600	127	138	126	156	170	409	446	377	181	206	188
LINC02593	46	34	25	36	50	197	225	179	106	133	110
LOC107985728	10	7	9	28	31	226	217	220	89	96	84
SAMD11	465	415	431	512	545	955	979	878	624	639	648
NOC2L	6341	5625	5467	5961	6244	4880	4989	4655	5634	5750	5953
KLHL17	713	560	562	781	832	775	808	642	785	780	784
PLEKHN1	213	160	173	193	189	326	364	306	223	250	231
PERM1	36	25	29	43	27	65	68	68	38	47	32
HES4	239	212	220	225	202	377	340	308	212	273	249
ISG15	492	428	408	478	538	790	806	674	551	502	592
AGRN	2642	2366	2304	3305	3612	5244	5107	4487	3605	3492	3612
LOC100288175	68	53	71	110	123	167	167	145	153	130	131
LOC112267874	26	26	28	34	49	65	70	58	46	52	49
LOC105378948	75	58	56	77	97	165	147	127	115	121	105
RNF223	8	3	0	7	2	15	33	12	13	5	7
C1orf159	245	193	204	288	302	273	312	264	238	252	245
LINC01342	0	0	0	0	0	0	0	0	0	0	1
MIR200B	0	0	0	0	0	0	1	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	1	0	0	0	0	0	0	0	0
TTLL10	2	0	0	0	0	0	0	0	0	1	1
TNFRSF18	1	0	0	0	0	1	2	4	1	0	0
TNFRSF4	2	10	4	7	1	6	2	4	7	4	5
SDF4	3499	3133	2876	3216	3351	4055	4153	3672	3212	3416	3244
B3GALT6	832	617	636	750	785	791	906	837	755	655	721
C1QTNF12	32	24	19	31	44	56	76	41	47	57	37
UBE2J2	1141	1023	973	1151	1095	1044	1032	937	1025	990	1099
LINC01786	126	93	106	94	131	171	194	164	149	134	131
SCNN1D	311	227	275	299	317	609	595	472	370	382	367
ACAP3	713	581	522	764	906	1291	1378	1167	909	941	926
MIR6726	0	0	0	0	1	0	1	1	1	2	1
SNORD167	3	3	1	5	9	6	15	6	5	7	6
PUSL1	306	245	304	293	328	308	330	275	264	254	296
INTS11	2268	1992	1981	1832	1859	2061	2180	1854	1802	1789	1946
MIR6727	8	8	4	13	12	7	13	8	8	8	9
CPTP	580	460	445	466	507	581	629	549	435	462	571
TAS1R3	38	47	34	43	47	80	104	64	43	46	36
DVL1	2905	2426	2358	2255	2379	2522	2808	2272	2269	2299	2344
MIR6808	9	9	10	16	13	10	10	12	11	10	12
MXRA8	751	694	644	798	728	2817	2954	2340	1001	1109	1089
AURKAIP1	2611	2268	2226	2376	2505	2200	2570	2050	2271	2162	2302
CCNL2	3879	3356	3130	3482	3711	4664	5124	4780	3715	3528	3802
MRPL20-AS1	585	544	497	633	593	720	715	575	627	571	610
MRPL20	1240	971	991	1303	1349	1060	1189	1075	1189	1084	1135
LOC107984868	4	15	8	11	8	13	12	8	9	9	4
ANKRD65	11	5	4	10	7	23	22	26	19	24	17
ANKRD65-AS1	4	1	2	1	7	12	12	12	4	4	3
TMEM88B	22	19	20	25	20	111	121	67	37	42	47
LINC01770	10	7	8	5	12	22	19	14	3	6	8
LOC107985729	5	0	2	0	1	5	10	13	4	3	5
VWA1	12	1	1	5	8	26	25	24	6	13	12
ATAD3C	37	38	37	35	36	30	37	30	22	29	28
ATAD3B	1806	1616	1533	1943	1826	1318	1384	1272	1703	1697	1687
ATAD3A	2373	2199	2039	2086	2156	1432	1520	1389	1774	1833	1854
TMEM240	24	23	13	31	23	37	35	25	30	31	29
SSU72	2898	2437	2256	2465	2790	2446	2638	2351	2515	2454	2612
FNDC10	270	245	256	188	201	251	232	178	188	194	171
LOC105378586	30	24	32	22	24	24	26	19	21	17	19
MIB2	817	745	696	727	812	1090	1120	1009	880	876	882
MMP23B	36	33	28	36	36	45	46	40	45	38	38
CDK11B	2096	1875	1847	1689	1737	1438	1583	1454	1743	1565	1808
SLC35E2B	1626	1487	1457	1337	1556	1921	2166	1968	1557	1624	1630
MMP23A	22	10	7	11	12	23	31	19	16	20	17
CDK11A	1321	1169	1173	1191	1121	1181	1254	1201	1248	1170	1289
SLC35E2A	1288	1211	1183	1214	1282	1704	1833	1785	1394	1359	1375
LOC112268218	178	166	159	152	186	207	210	191	160	166	160
NADK	2340	2005	2056	1989	2054	2396	2529	2255	2176	1941	2031
GNB1	10228	9084	8523	9022	9354	9415	10236	9203	9484	8848	9555
GNB1-DT	37	31	32	14	31	24	37	25	19	23	30
CALML6	68	39	55	44	57	139	122	98	75	67	81
TMEM52	108	97	102	93	80	106	102	72	66	81	85
CFAP74	10	4	8	8	10	32	16	20	13	7	9
LOC107984872	4	1	1	3	1	4	4	1	4	1	7
LOC105378589	21	12	9	5	8	16	13	2	12	6	9
GABRD	435	377	371	327	340	419	437	405	349	333	359
LOC105378590	0	0	0	0	0	4	6	0	0	0	1
PRKCZ-DT	0	0	1	0	0	4	5	0	2	0	0
PRKCZ	1052	896	890	1113	1079	1734	1739	1543	1128	1230	1198
PRKCZ-AS1	59	64	53	81	83	115	156	134	70	89	93
FAAP20	1042	932	973	879	907	1183	1247	1012	893	869	919
LOC112268219	207	151	159	145	165	214	210	187	187	168	166
LOC105378593	18	24	14	13	23	53	49	49	19	30	29
SKI	2029	1755	1592	1659	1806	1776	1840	1745	1742	1803	1824
MORN1	184	161	168	190	219	298	266	239	212	239	177
LOC100129534	105	78	96	104	115	114	158	92	90	129	116
RER1	2573	2287	2107	2386	2408	2330	2628	2430	2446	2336	2394
PEX10	555	550	561	562	604	689	716	673	579	558	575
PLCH2	37	35	40	39	51	82	91	66	46	53	45
PANK4	620	565	549	484	515	493	486	416	458	475	536
HES5	0	0	0	0	0	0	1	0	0	0	0
TNFRSF14-AS1	2	2	2	1	5	8	9	3	5	10	1
TNFRSF14	3	6	3	3	2	21	11	8	5	4	5
LOC100996583	3	7	5	2	0	2	4	7	3	5	0
PRXL2B	1171	1031	990	983	985	923	951	837	960	917	888
MMEL1	141	138	135	130	122	117	129	101	125	121	115
MMEL1-AS1	3	1	2	1	3	3	2	4	5	0	3
TTC34	19	21	28	27	21	53	28	42	22	31	39
LOC105378603	0	0	0	0	0	0	0	0	0	0	0
LOC105378602	0	0	0	0	0	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0	0	0	0	0	0
LOC112268220	0	0	0	0	0	0	0	0	0	0	0
LOC107985732	0	0	0	0	0	0	0	0	0	0	1
LOC105378600	0	0	0	0	0	0	0	0	0	0	0
LOC105378598	0	0	0	0	0	0	0	0	0	0	0
LOC107984904	0	0	0	0	0	0	0	0	0	0	1
LOC105378599	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0
PRDM16-DT	50	37	41	60	57	137	122	111	69	60	74
PRDM16	596	473	484	484	549	639	694	540	459	493	474
MIR4251	0	0	0	0	0	0	0	0	0	0	0
LOC105378606	2	2	7	3	2	6	4	2	4	4	1
LOC107984909	3	3	5	3	10	2	6	7	1	4	6
LOC105378605	1	0	1	4	7	3	0	4	3	1	2
LOC105378604	2	7	8	13	8	6	7	8	11	12	12
ARHGEF16	284	240	229	219	246	123	151	120	211	198	216
MEGF6	551	484	424	576	571	1154	1105	969	681	749	755
LOC105378608	0	0	0	0	0	0	0	2	0	0	0
MIR551A	0	0	0	0	0	0	0	0	0	0	0
LOC105378607	0	0	1	0	0	0	0	0	0	0	0
TPRG1L	646	597	544	518	594	692	774	682	619	543	526
WRAP73	700	545	580	670	659	572	686	588	590	601	641
TP73	152	133	120	122	138	191	204	154	141	117	134
TP73-AS3	0	0	1	1	0	1	0	5	0	0	2
LOC105378609	1	0	0	2	1	0	0	0	0	0	0
TP73-AS1	291	210	221	196	158	240	225	173	211	186	202
CCDC27	2	4	2	0	2	4	3	2	2	0	3
SMIM1	1	1	3	0	1	1	4	6	0	0	0
